Num0,zero
Num1,one
Num2,two
Num3,three
Num4,four
Num5,five
Num6,six
Num7,seven
Num8,eight
Num9,nine
Num10,ten
Num11,eleven
Num12,twelve
Num13,thirteen
Num14,fourteen
Num15,fifteen
Num16,sixteen
Num17,seventeen
Num18,eighteen
Num19,nineteen
Num20,twenty
Num21,twenty-one
Num22,twenty-two
Num23,twenty-three
Num24,twenty-four
Num25,twenty-five
Num26,twenty-six
Num27,twenty-seven
Num28,twenty-eight
Num29,twenty-nine
Num30,thirty
Num31,thirty-one
Num32,thirty-two
Num33,thirty-three
Num34,thirty-four
Num35,thirty-five
Num36,thirty-six
Num37,thirty-seven
Num38,thirty-eight
Num39,thirty-nine
Num40,forty
Num41,forty-one
Num42,forty-two
Num43,forty-three
Num44,forty-four
Num45,forty-five
Num46,forty-six
Num47,forty-seven
Num48,forty-eight
Num49,forty-nine
Num50,fifty
Num51,fifty-one
Num52,fifty-two
Num53,fifty-three
Num54,fifty-four
Num55,fifty-five
Num56,fifty-six
Num57,fifty-seven
Num58,fifty-eight
Num59,fifty-nine
Num60,sixty
Num61,sixty-one
Num62,sixty-two
Num63,sixty-three
Num64,sixty-four
Num65,sixty-five
Num66,sixty-six
Num67,sixty-seven
Num68,sixty-eight
Num69,sixty-nine
Num70,seventy
Num71,seventy-one
Num72,seventy-two
Num73,seventy-three
Num74,seventy-four
Num75,seventy-five
Num76,seventy-six
Num77,seventy-seven
Num78,seventy-eight
Num79,seventy-nine
Num80,eighty
Num81,eighty-one
Num82,eighty-two
Num83,eighty-three
Num84,eighty-four
Num85,eighty-five
Num86,eighty-six
Num87,eighty-seven
Num88,eighty-eight
Num89,eighty-nine
Num90,ninety
Num91,ninety-one
Num92,ninety-two
Num93,ninety-three
Num94,ninety-four
Num95,ninety-five
Num96,ninety-six
Num97,ninety-seven
Num98,ninety-eight
Num99,ninety-nine
